sex,diversity,legacy,SAT,GPA,extracurricular,TOEFL,AP,letterScore,subject,group,C_SAT,C_GPA,C_extracurricular,C_TOEFL,C_AP,C_letterScore,C_subject,admission
M,H,N,802.15,2.079,3,96.015,8,0.258,3,MHN0000101,0,0,0,0,1,0,1,N
F,O,N,1193.728,2.723,0,49.161,2,0.263,3,FON0000001,0,0,0,0,0,0,1,N
M,W,Y,1402.258,1.659,0,92.869,5,0.96,3,MWY0000011,0,0,0,0,0,1,1,N
F,W,N,1627.792,2.829,2,79.612,9,0.075,3,FWN0000101,0,0,0,0,1,0,1,Y
M,O,N,1207.201,1.419,4,44.489,3,0.107,0,MON0000000,0,0,0,0,0,0,0,Y
M,B,N,1440.877,2.881,2,93.146,7,0.188,3,MBN0000001,0,0,0,0,0,0,1,N
F,A,N,662.027,3.034,9,66.607,9,0.24,3,FAN0110101,0,1,1,0,1,0,1,N
M,A,N,880.281,2.036,0,74.555,2,0.675,0,MAN0000000,0,0,0,0,0,0,0,N
M,W,N,1116.496,2.652,3,73.38,1,0.265,4,MWN0000001,0,0,0,0,0,0,1,N
M,A,N,950.407,2.766,3,75.643,8,0.169,3,MAN0000101,0,0,0,0,1,0,1,N
M,W,N,1217.903,2.722,1,38.675,2,0.125,0,MWN0000000,0,0,0,0,0,0,0,Y
M,W,N,1303.417,2.16,8,60.113,9,0.492,1,MWN0010100,0,0,1,0,1,0,0,N
M,A,N,1219.755,1.991,8,71.023,0,0.04,3,MAN0010001,0,0,1,0,0,0,1,N
F,W,N,1510.758,3.176,7,68.614,8,0.226,0,FWN0110100,0,1,1,0,1,0,0,N
F,A,N,1261.167,2.387,7,62.292,26,0.453,1,FAN0010100,0,0,1,0,1,0,0,Y
F,O,N,1681.272,3.088,7,46.257,1,0.724,3,FON0110001,0,1,1,0,0,0,1,N
M,H,N,1015.729,2.125,5,101.749,3,0.797,4,MHN0011001,0,0,1,1,0,0,1,Y
F,W,N,1500.718,3.1,1,88.641,3,0.72,2,FWN0100000,0,1,0,0,0,0,0,Y
F,W,N,1556.051,3.014,1,59.074,3,0.617,4,FWN0100001,0,1,0,0,0,0,1,N
F,A,N,1685.426,3.29,0,66.792,11,0.312,3,FAN0100101,0,1,0,0,1,0,1,N
M,W,Y,1252.661,2.713,4,111.582,17,0.709,0,MWY0001100,0,0,0,1,1,0,0,N
M,H,Y,890.524,1.605,7,79.567,4,0.954,4,MHY0010011,0,0,1,0,0,1,1,Y
F,W,N,1383.683,2.62,8,92.949,6,0.828,4,FWN0010001,0,0,1,0,0,0,1,N
M,A,N,1149.641,3.589,2,78.855,9,0.42,0,MAN0100100,0,1,0,0,1,0,0,Y
F,W,N,1036.289,1.98,8,121.008,35,0.692,3,FWN0011101,0,0,1,1,1,0,1,N
F,W,N,1078.618,2.676,3,56.896,0,0.637,3,FWN0000001,0,0,0,0,0,0,1,Y
M,W,Y,926.198,2.478,2,75.962,2,0.478,1,MWY0000000,0,0,0,0,0,0,0,N
F,W,N,541.083,2.018,5,39.352,8,0.226,4,FWN0010101,0,0,1,0,1,0,1,Y
F,H,N,1283.351,2.088,7,114.309,0,0.741,2,FHN0011000,0,0,1,1,0,0,0,Y
M,A,Y,625.279,2.352,0,67.842,2,0.068,4,MAY0000001,0,0,0,0,0,0,1,N
M,W,N,820.052,1.662,9,89.137,1,0.694,0,MWN0010000,0,0,1,0,0,0,0,Y
M,W,N,1130.775,2.73,0,70.1,8,0.079,4,MWN0000101,0,0,0,0,1,0,1,Y
F,W,N,1479.966,3.686,5,90.21,3,0.169,2,FWN0110000,0,1,1,0,0,0,0,Y
M,H,Y,927.015,2.83,7,111.503,8,0.091,3,MHY0011101,0,0,1,1,1,0,1,Y
F,W,Y,1233.975,2.167,7,78.235,0,0.237,3,FWY0010001,0,0,1,0,0,0,1,N
M,O,N,1621.814,2.057,5,59.357,9,0.505,4,MON0010101,0,0,1,0,1,0,1,N
M,H,N,1224.054,2.635,7,90.721,5,0.873,2,MHN0010000,0,0,1,0,0,0,0,Y
F,O,N,769.081,2.378,0,63.515,3,0.687,2,FON0000000,0,0,0,0,0,0,0,Y
F,A,N,1696.642,2.335,8,69.02,2,0.721,2,FAN0010000,0,0,1,0,0,0,0,Y
M,O,Y,821.925,1.649,7,61.29,37,0.217,3,MOY0010101,0,0,1,0,1,0,1,Y
F,W,N,1190.942,4.122,4,54.218,9,0.365,3,FWN0100101,0,1,0,0,1,0,1,N
F,H,N,1197.112,2.52,0,108.065,9,0.448,4,FHN0001101,0,0,0,1,1,0,1,N
F,W,N,1483.412,3.248,7,86.945,2,0.581,2,FWN0110000,0,1,1,0,0,0,0,N
F,W,N,858.588,2.188,4,119.241,28,0.096,4,FWN0001101,0,0,0,1,1,0,1,Y
M,W,Y,904.209,2.726,8,78.571,8,0.703,2,MWY0010100,0,0,1,0,1,0,0,Y
M,H,N,1109.857,1.42,8,89.235,5,0.759,2,MHN0010000,0,0,1,0,0,0,0,Y
F,W,N,1423.067,2.672,9,104.722,5,0.398,0,FWN0011000,0,0,1,1,0,0,0,N
F,W,N,1150.782,3.63,1,80.555,5,0.36,2,FWN0100000,0,1,0,0,0,0,0,N
F,B,Y,1532.968,2.31,9,94.053,0,0.811,4,FBY0010001,0,0,1,0,0,0,1,Y
F,W,N,1081.918,2.763,6,76.011,8,0.144,3,FWN0010101,0,0,1,0,1,0,1,N
F,B,N,1065.677,2.318,1,82.491,4,0.934,0,FBN0000010,0,0,0,0,0,1,0,Y
M,O,N,897.881,1.833,5,60.306,2,0.939,0,MON0010010,0,0,1,0,0,1,0,N
F,B,N,424.294,2.778,3,74.465,6,0.994,4,FBN0000011,0,0,0,0,0,1,1,Y
M,O,N,1272.466,1.772,8,52.179,4,0.739,1,MON0010000,0,0,1,0,0,0,0,Y
M,O,N,739.777,3.076,2,68.419,1,0.862,4,MON0100001,0,1,0,0,0,0,1,N
F,A,N,1630.192,2.685,9,73.515,3,0.486,3,FAN0010001,0,0,1,0,0,0,1,Y
F,A,N,948.224,1.918,5,77.098,4,0.455,3,FAN0010001,0,0,1,0,0,0,1,Y
M,W,N,820.347,2.956,8,68.414,8,0.257,1,MWN0010100,0,0,1,0,1,0,0,Y
F,O,N,1257.151,3.209,9,75.899,5,0.397,2,FON0110000,0,1,1,0,0,0,0,N
M,W,N,586.552,2.637,3,92.982,5,0.48,1,MWN0000000,0,0,0,0,0,0,0,Y
M,O,N,1326.052,2.529,8,46.993,3,0.832,3,MON0010001,0,0,1,0,0,0,1,Y
F,H,Y,1514.606,2.207,7,102.514,6,0.612,0,FHY0011000,0,0,1,1,0,0,0,N
M,O,N,1337.388,2.126,8,53.471,8,0.165,2,MON0010100,0,0,1,0,1,0,0,Y
F,W,N,984.247,2.502,1,76.598,3,0.992,2,FWN0000010,0,0,0,0,0,1,0,Y
M,W,Y,674.726,3.45,0,84.375,7,0.273,1,MWY0100000,0,1,0,0,0,0,0,Y
M,O,N,506.536,2.067,9,48.023,9,0.095,0,MON0010100,0,0,1,0,1,0,0,Y
F,W,Y,1449.856,1.743,2,82.546,1,0.979,3,FWY0000011,0,0,0,0,0,1,1,Y
M,A,N,718.48,1.557,2,70.504,2,0.422,1,MAN0000000,0,0,0,0,0,0,0,Y
M,W,N,873.462,2.892,8,75.211,2,0.816,1,MWN0010000,0,0,1,0,0,0,0,Y
F,O,Y,786.918,3.373,0,57.14,4,0.427,4,FOY0100001,0,1,0,0,0,0,1,N
M,A,Y,1571.137,1.45,7,65.523,1,0.092,2,MAY0010000,0,0,1,0,0,0,0,Y
F,W,N,1032.019,3.166,6,70.373,0,0.986,1,FWN0110010,0,1,1,0,0,1,0,N
M,H,N,1034.745,3.127,8,98.871,1,0.606,0,MHN0110000,0,1,1,0,0,0,0,N
M,H,N,952.771,2.555,4,107.871,5,0.767,4,MHN0001001,0,0,0,1,0,0,1,Y
F,O,N,1337.158,2.762,2,70.439,7,0.492,4,FON0000001,0,0,0,0,0,0,1,Y
F,W,N,677.879,3.071,6,52.48,8,0.98,0,FWN0110110,0,1,1,0,1,1,0,N
F,O,Y,651.72,2.613,6,78.376,7,0.917,4,FOY0010011,0,0,1,0,0,1,1,Y
F,H,N,1416.123,2.607,4,101.059,2,0.221,4,FHN0001001,0,0,0,1,0,0,1,Y
F,W,N,1111.473,2.499,9,97.304,29,0.167,0,FWN0010100,0,0,1,0,1,0,0,Y
M,A,Y,1420.754,1.826,9,77.94,4,0.875,4,MAY0010001,0,0,1,0,0,0,1,Y
M,B,N,1072.823,3.652,8,85.143,2,0.12,4,MBN0110001,0,1,1,0,0,0,1,Y
F,W,N,1198.871,3.052,1,93.982,0,0.202,0,FWN0100000,0,1,0,0,0,0,0,N
M,A,Y,1407.261,2.259,3,67.39,16,0.742,0,MAY0000100,0,0,0,0,1,0,0,Y
M,A,N,643.181,1.925,5,81.011,5,0.454,0,MAN0010000,0,0,1,0,0,0,0,N
M,W,N,664.632,1.46,2,63.764,7,0.742,3,MWN0000001,0,0,0,0,0,0,1,Y
M,H,N,1091.233,2.042,9,114.49,4,0.564,4,MHN0011001,0,0,1,1,0,0,1,N
M,I,Y,754.359,1.531,7,73.7,9,0.087,0,MIY0010100,0,0,1,0,1,0,0,Y
M,O,Y,651.697,2.394,8,44.084,36,0.043,1,MOY0010100,0,0,1,0,1,0,0,Y
M,A,N,1088.511,3.248,4,72.976,2,0.274,1,MAN0100000,0,1,0,0,0,0,0,N
M,W,N,1019.489,1.654,8,95.627,1,0.371,1,MWN0010000,0,0,1,0,0,0,0,N
F,A,N,1072.174,2.946,1,64.243,8,0.458,1,FAN0000100,0,0,0,0,1,0,0,N
F,O,N,1593.506,3.517,5,51.937,2,0.784,1,FON0110000,0,1,1,0,0,0,0,N
M,W,N,1153.715,1.824,8,92.254,4,0.859,2,MWN0010000,0,0,1,0,0,0,0,Y
M,O,N,1090.608,2.205,3,55.347,7,0.235,4,MON0000001,0,0,0,0,0,0,1,Y
F,B,N,1256.238,2.65,2,89.156,3,0.32,0,FBN0000000,0,0,0,0,0,0,0,Y
M,W,N,521.832,2.398,3,37.776,5,0.288,2,MWN0000000,0,0,0,0,0,0,0,Y
M,A,Y,467.013,2.482,6,67.683,3,0.658,4,MAY0010001,0,0,1,0,0,0,1,N
F,W,N,1138.295,2.068,6,75.496,1,0.492,2,FWN0010000,0,0,1,0,0,0,0,N
M,H,N,956.955,2.536,3,99.894,28,0.539,1,MHN0000100,0,0,0,0,1,0,0,Y
F,B,N,1010.404,2.473,7,83.817,2,0.123,3,FBN0010001,0,0,1,0,0,0,1,N
F,W,N,784.384,3.055,3,111.063,0,0.778,0,FWN0101000,0,1,0,1,0,0,0,N
M,W,N,1525.668,3.334,0,80.117,3,0.83,4,MWN0100001,0,1,0,0,0,0,1,N
F,B,N,1251.159,2.561,4,81.249,6,0.673,1,FBN0000000,0,0,0,0,0,0,0,N
M,H,N,1595.047,1.655,6,106.392,5,0.399,1,MHN0011000,0,0,1,1,0,0,0,Y
M,B,Y,1012.848,3.366,7,93.887,4,0.834,2,MBY0110000,0,1,1,0,0,0,0,Y
M,O,N,915.59,2.145,7,48.734,8,0.256,0,MON0010100,0,0,1,0,1,0,0,N
M,W,N,971.164,1.905,5,64.883,4,0.043,0,MWN0010000,0,0,1,0,0,0,0,Y
M,H,Y,816.805,1.518,6,80.072,3,0.885,4,MHY0010001,0,0,1,0,0,0,1,Y
M,O,Y,627.165,2.909,4,52.726,0,0.237,3,MOY0000001,0,0,0,0,0,0,1,Y
F,A,Y,1644.324,1.372,4,64.658,6,1.0,0,FAY0000010,0,0,0,0,0,1,0,Y
M,A,N,808.131,1.876,0,65.454,14,0.118,4,MAN0000101,0,0,0,0,1,0,1,N
M,W,N,1436.325,1.622,9,88.659,5,0.403,1,MWN0010000,0,0,1,0,0,0,0,Y
F,W,N,899.803,2.175,2,76.114,4,0.434,2,FWN0000000,0,0,0,0,0,0,0,N
F,O,Y,1512.902,2.757,2,57.803,0,0.322,1,FOY0000000,0,0,0,0,0,0,0,Y
M,O,N,1082.84,1.799,7,68.113,2,0.88,1,MON0010000,0,0,1,0,0,0,0,Y
F,H,N,1295.408,2.295,9,89.348,21,0.236,0,FHN0010100,0,0,1,0,1,0,0,N
M,A,N,844.548,2.191,3,75.67,2,0.656,0,MAN0000000,0,0,0,0,0,0,0,N
F,I,N,1181.927,3.464,2,82.245,3,0.532,0,FIN0100000,0,1,0,0,0,0,0,N
F,W,N,1227.895,3.379,2,84.995,2,0.559,3,FWN0100001,0,1,0,0,0,0,1,Y
F,A,N,1343.08,2.661,9,76.018,35,0.023,0,FAN0010100,0,0,1,0,1,0,0,Y
F,W,N,1290.466,3.769,1,114.949,0,0.613,3,FWN0101001,0,1,0,1,0,0,1,Y
F,O,N,1379.275,3.562,9,53.774,7,0.189,1,FON0110000,0,1,1,0,0,0,0,N
M,I,N,1206.91,3.075,5,82.504,2,0.481,0,MIN0110000,0,1,1,0,0,0,0,Y
F,W,Y,1143.234,3.093,4,71.075,2,0.694,1,FWY0100000,0,1,0,0,0,0,0,Y
F,W,N,872.34,1.614,8,69.973,9,0.228,2,FWN0010100,0,0,1,0,1,0,0,N
M,W,N,871.129,2.003,8,74.623,0,0.909,4,MWN0010011,0,0,1,0,0,1,1,Y
M,W,N,1130.097,2.901,2,94.056,4,0.701,1,MWN0000000,0,0,0,0,0,0,0,Y
F,A,N,1314.729,3.274,6,74.343,0,0.799,1,FAN0110000,0,1,1,0,0,0,0,N
M,W,Y,1054.28,2.405,8,91.266,2,0.207,1,MWY0010000,0,0,1,0,0,0,0,N
M,O,N,686.162,2.742,4,45.707,8,0.539,4,MON0000101,0,0,0,0,1,0,1,Y
F,O,N,765.665,3.348,3,71.204,7,0.125,3,FON0100001,0,1,0,0,0,0,1,Y
M,O,N,1205.789,3.238,4,65.094,1,0.193,0,MON0100000,0,1,0,0,0,0,0,Y
M,O,N,770.646,3.235,4,64.788,6,0.797,0,MON0100000,0,1,0,0,0,0,0,Y
M,W,N,1328.209,3.006,4,69.241,9,0.36,3,MWN0100101,0,1,0,0,1,0,1,N
F,H,N,1644.061,3.796,1,102.378,5,0.717,3,FHN0101001,0,1,0,1,0,0,1,Y
F,O,N,923.946,2.17,1,69.704,1,0.876,3,FON0000001,0,0,0,0,0,0,1,Y
F,W,N,876.564,2.353,7,62.445,7,0.118,3,FWN0010001,0,0,1,0,0,0,1,N
M,W,Y,1276.369,2.997,4,73.366,2,0.79,1,MWY0000000,0,0,0,0,0,0,0,N
M,B,N,908.527,2.349,0,83.39,2,0.319,0,MBN0000000,0,0,0,0,0,0,0,Y
M,H,Y,978.539,2.968,0,120.793,3,0.285,4,MHY0001001,0,0,0,1,0,0,1,Y
M,B,Y,1314.958,2.442,4,84.403,0,0.537,3,MBY0000001,0,0,0,0,0,0,1,Y
F,O,N,1500.507,3.622,7,65.803,9,0.235,3,FON0110101,0,1,1,0,1,0,1,Y
F,O,Y,1625.464,2.258,5,58.788,36,0.474,2,FOY0010100,0,0,1,0,1,0,0,Y
F,W,Y,1044.363,3.383,6,78.507,1,0.093,1,FWY0110000,0,1,1,0,0,0,0,N
F,A,N,1160.643,2.009,0,72.148,0,0.744,1,FAN0000000,0,0,0,0,0,0,0,N
F,O,N,1490.104,2.951,1,48.669,3,0.94,1,FON0000010,0,0,0,0,0,1,0,Y
M,B,Y,1168.672,2.574,1,83.653,7,0.389,0,MBY0000000,0,0,0,0,0,0,0,N
F,W,N,1333.425,1.785,5,64.274,4,0.269,4,FWN0010001,0,0,1,0,0,0,1,Y
F,W,N,1539.566,2.011,3,77.126,8,0.524,0,FWN0000100,0,0,0,0,1,0,0,Y
M,W,N,1232.531,2.357,7,79.452,0,0.977,1,MWN0010010,0,0,1,0,0,1,0,N
F,H,N,1109.7,3.389,4,81.368,0,0.974,3,FHN0100011,0,1,0,0,0,1,1,N
M,A,N,855.969,2.566,4,64.901,9,0.848,3,MAN0000101,0,0,0,0,1,0,1,Y
M,B,N,1019.429,2.553,6,90.996,4,0.65,1,MBN0010000,0,0,1,0,0,0,0,Y
M,A,N,1288.363,2.407,9,69.856,14,0.374,4,MAN0010101,0,0,1,0,1,0,1,Y
M,W,Y,1243.828,1.657,7,90.59,6,0.003,4,MWY0010001,0,0,1,0,0,0,1,Y
F,W,N,1387.287,2.323,0,81.118,3,0.073,1,FWN0000000,0,0,0,0,0,0,0,N
F,W,N,1197.89,2.771,1,65.313,7,0.61,2,FWN0000000,0,0,0,0,0,0,0,Y
F,A,N,1522.9,2.765,5,64.531,4,0.03,3,FAN0010001,0,0,1,0,0,0,1,N
M,A,N,1110.335,3.318,9,73.576,2,0.312,0,MAN0110000,0,1,1,0,0,0,0,N
M,A,N,591.184,2.283,9,65.529,6,0.169,1,MAN0010000,0,0,1,0,0,0,0,Y
F,W,Y,880.261,2.585,9,67.47,34,0.621,2,FWY0010100,0,0,1,0,1,0,0,N
M,W,N,1249.331,2.621,0,93.551,4,0.808,3,MWN0000001,0,0,0,0,0,0,1,N
F,W,N,781.946,3.814,1,91.359,2,0.384,2,FWN0100000,0,1,0,0,0,0,0,N
F,W,Y,1137.223,3.242,0,85.699,0,0.989,1,FWY0100010,0,1,0,0,0,1,0,Y
F,W,N,1349.819,1.635,0,84.207,9,0.454,3,FWN0000101,0,0,0,0,1,0,1,N
M,H,N,711.949,2.3,2,95.649,2,0.226,3,MHN0000001,0,0,0,0,0,0,1,Y
F,O,N,1519.427,3.492,8,42.113,8,0.746,4,FON0110101,0,1,1,0,1,0,1,Y
M,W,N,1661.298,1.747,7,50.233,2,0.749,1,MWN0010000,0,0,1,0,0,0,0,Y
M,A,N,1102.707,2.19,5,77.916,5,0.467,1,MAN0010000,0,0,1,0,0,0,0,Y
M,A,N,1050.908,2.185,0,67.628,6,0.058,1,MAN0000000,0,0,0,0,0,0,0,N
M,O,N,910.175,2.14,0,63.398,1,0.342,2,MON0000000,0,0,0,0,0,0,0,N
F,W,Y,1521.997,2.264,6,99.67,7,0.246,3,FWY0010001,0,0,1,0,0,0,1,N
F,H,N,1094.155,3.03,4,84.091,4,0.136,1,FHN0100000,0,1,0,0,0,0,0,N
F,A,N,1342.089,2.67,8,81.621,4,0.16,2,FAN0010000,0,0,1,0,0,0,0,N
M,W,N,842.299,2.544,3,99.892,2,0.607,1,MWN0000000,0,0,0,0,0,0,0,N
M,H,N,547.028,2.042,9,100.035,9,0.64,4,MHN0011101,0,0,1,1,1,0,1,N
M,W,N,918.219,0.953,9,92.048,4,0.487,1,MWN0010000,0,0,1,0,0,0,0,N
F,W,N,1751.985,2.25,3,94.115,2,0.703,1,FWN0000000,0,0,0,0,0,0,0,N
F,W,N,1504.552,4.034,6,106.568,1,0.503,1,FWN0111000,0,1,1,1,0,0,0,N
F,W,N,1065.486,2.763,1,62.083,13,0.632,4,FWN0000101,0,0,0,0,1,0,1,N
M,W,N,1329.833,1.845,8,110.085,0,0.454,2,MWN0011000,0,0,1,1,0,0,0,N
F,O,N,658.856,2.522,0,72.429,4,0.098,1,FON0000000,0,0,0,0,0,0,0,Y
M,H,N,1139.356,1.424,8,96.826,2,0.295,1,MHN0010000,0,0,1,0,0,0,0,N
M,W,N,1090.358,2.679,5,65.5,9,0.632,1,MWN0010100,0,0,1,0,1,0,0,Y
F,A,Y,969.161,2.866,1,67.791,4,0.235,3,FAY0000001,0,0,0,0,0,0,1,Y
F,W,N,1496.579,1.675,2,117.571,2,0.764,3,FWN0001001,0,0,0,1,0,0,1,Y
F,O,Y,1105.436,2.488,7,69.727,2,0.753,1,FOY0010000,0,0,1,0,0,0,0,Y
F,A,N,959.151,3.959,7,69.954,5,0.566,4,FAN0110001,0,1,1,0,0,0,1,Y
F,A,N,1148.079,2.087,1,65.189,0,0.814,4,FAN0000001,0,0,0,0,0,0,1,N
F,W,Y,993.224,1.543,7,67.544,8,0.674,1,FWY0010100,0,0,1,0,1,0,0,N
F,A,N,903.003,2.05,5,71.84,0,0.855,0,FAN0010000,0,0,1,0,0,0,0,Y
F,H,N,1387.89,2.298,3,93.741,7,0.394,3,FHN0000001,0,0,0,0,0,0,1,Y
F,W,N,1699.598,1.632,0,82.905,3,0.15,0,FWN0000000,0,0,0,0,0,0,0,N
F,A,N,1292.866,2.694,2,66.368,7,0.911,1,FAN0000010,0,0,0,0,0,1,0,N
M,O,N,842.61,1.539,9,78.986,3,0.023,4,MON0010001,0,0,1,0,0,0,1,Y
F,A,N,1205.601,1.836,0,72.371,6,0.316,3,FAN0000001,0,0,0,0,0,0,1,N
F,O,N,1703.998,3.042,6,59.155,0,0.511,2,FON0110000,0,1,1,0,0,0,0,Y
M,H,N,845.162,2.438,0,80.54,11,0.558,2,MHN0000100,0,0,0,0,1,0,0,Y
M,I,N,1553.705,1.8,2,91.003,4,0.833,3,MIN0000001,0,0,0,0,0,0,1,N
M,O,Y,1582.07,2.342,3,68.869,9,0.165,1,MOY0000100,0,0,0,0,1,0,0,Y
M,A,N,500.683,2.29,9,72.803,9,0.947,4,MAN0010111,0,0,1,0,1,1,1,N
M,W,N,1229.373,1.558,4,68.16,8,0.288,3,MWN0000101,0,0,0,0,1,0,1,Y
M,W,N,687.511,3.245,6,121.598,0,0.187,4,MWN0111001,0,1,1,1,0,0,1,N
F,B,N,1752.697,2.458,2,86.904,9,0.416,2,FBN0000100,0,0,0,0,1,0,0,Y
F,W,N,1361.701,2.712,6,115.936,6,0.269,3,FWN0011001,0,0,1,1,0,0,1,Y
M,H,N,428.147,2.083,8,120.898,11,0.324,0,MHN0011100,0,0,1,1,1,0,0,Y
M,A,N,1249.041,2.684,7,59.994,8,0.526,1,MAN0010100,0,0,1,0,1,0,0,Y
F,W,N,1523.094,2.898,6,43.9,35,0.641,3,FWN0010101,0,0,1,0,1,0,1,Y
M,O,N,1200.486,3.04,6,76.073,2,0.912,1,MON0110010,0,1,1,0,0,1,0,N
M,W,N,1288.975,2.943,0,83.015,2,0.246,4,MWN0000001,0,0,0,0,0,0,1,N
F,A,N,1393.549,2.533,3,61.917,5,0.349,0,FAN0000000,0,0,0,0,0,0,0,N
M,W,N,1028.652,1.651,2,68.213,1,0.893,2,MWN0000000,0,0,0,0,0,0,0,N
M,O,N,1186.913,1.619,0,47.252,7,0.697,0,MON0000000,0,0,0,0,0,0,0,Y
M,W,N,666.221,1.726,8,74.943,3,0.864,4,MWN0010001,0,0,1,0,0,0,1,Y
F,A,N,858.195,2.797,5,72.552,4,0.11,3,FAN0010001,0,0,1,0,0,0,1,N
F,H,N,1120.039,3.553,0,91.044,7,0.392,2,FHN0100000,0,1,0,0,0,0,0,N
F,W,Y,1888.75,2.975,2,94.421,3,0.876,3,FWY0000001,0,0,0,0,0,0,1,Y
F,B,N,642.408,2.992,1,89.785,7,0.623,1,FBN0000000,0,0,0,0,0,0,0,Y
M,B,N,1035.054,1.62,7,99.386,0,0.664,4,MBN0010001,0,0,1,0,0,0,1,Y
M,O,Y,995.895,3.872,6,42.099,3,0.408,1,MOY0110000,0,1,1,0,0,0,0,N
F,W,N,1621.652,2.93,6,96.83,8,0.228,4,FWN0010101,0,0,1,0,1,0,1,Y
M,A,N,591.607,2.908,5,69.135,6,0.873,3,MAN0010001,0,0,1,0,0,0,1,N
M,B,Y,1383.988,1.714,1,87.924,10,0.311,0,MBY0000100,0,0,0,0,1,0,0,Y
M,A,N,739.063,2.202,3,66.788,7,0.999,2,MAN0000010,0,0,0,0,0,1,0,Y
M,W,N,1725.615,1.823,7,101.716,0,0.18,0,MWN0011000,0,0,1,1,0,0,0,N
M,W,N,526.354,2.118,2,58.013,30,0.688,1,MWN0000100,0,0,0,0,1,0,0,Y
M,W,N,1160.482,2.109,8,121.216,2,0.125,2,MWN0011000,0,0,1,1,0,0,0,Y
F,W,N,1346.757,2.995,7,90.462,4,0.806,4,FWN0010001,0,0,1,0,0,0,1,Y
M,W,N,1209.577,2.814,1,21.398,21,0.841,3,MWN0000101,0,0,0,0,1,0,1,Y
F,W,Y,477.87,2.89,5,85.446,7,0.58,2,FWY0010000,0,0,1,0,0,0,0,Y
F,O,N,1407.39,3.052,8,49.576,1,0.205,4,FON0110001,0,1,1,0,0,0,1,Y
F,I,N,1148.064,2.337,1,82.883,9,0.844,1,FIN0000100,0,0,0,0,1,0,0,Y
F,B,N,1098.397,2.785,9,90.05,1,0.42,3,FBN0010001,0,0,1,0,0,0,1,N
F,B,N,997.124,3.507,7,87.633,8,0.356,1,FBN0110100,0,1,1,0,1,0,0,N
F,W,N,1759.998,4.617,6,77.681,0,0.243,4,FWN0110001,0,1,1,0,0,0,1,N
F,W,N,1195.354,2.917,1,69.184,9,0.993,4,FWN0000111,0,0,0,0,1,1,1,N
M,B,N,1442.321,2.736,2,85.143,1,0.783,3,MBN0000001,0,0,0,0,0,0,1,Y
M,W,N,1263.953,2.298,6,70.011,6,0.783,3,MWN0010001,0,0,1,0,0,0,1,Y
F,W,N,649.209,1.01,4,93.423,7,0.737,3,FWN0000001,0,0,0,0,0,0,1,Y
F,W,N,779.688,3.467,0,72.025,37,0.749,3,FWN0100101,0,1,0,0,1,0,1,N
F,W,N,1250.7,2.354,9,92.124,4,0.76,2,FWN0010000,0,0,1,0,0,0,0,Y
F,H,N,1338.026,3.204,5,102.194,9,0.811,1,FHN0111100,0,1,1,1,1,0,0,Y
M,H,N,919.352,1.851,6,111.876,8,0.911,3,MHN0011111,0,0,1,1,1,1,1,Y
F,W,N,1167.802,2.24,1,84.834,2,0.062,2,FWN0000000,0,0,0,0,0,0,0,N
F,W,N,1001.762,2.628,7,88.952,8,0.177,2,FWN0010100,0,0,1,0,1,0,0,N
F,A,N,1211.183,2.839,7,65.811,2,0.966,0,FAN0010010,0,0,1,0,0,1,0,Y
F,W,N,1236.056,1.577,4,89.811,9,0.084,2,FWN0000100,0,0,0,0,1,0,0,N
M,W,N,954.716,2.631,3,89.541,0,0.361,4,MWN0000001,0,0,0,0,0,0,1,N
F,A,N,881.79,2.398,6,65.013,5,0.813,1,FAN0010000,0,0,1,0,0,0,0,N
F,W,Y,846.462,1.645,1,96.91,4,0.435,0,FWY0000000,0,0,0,0,0,0,0,Y
F,O,N,1225.119,3.712,5,60.137,3,0.786,1,FON0110000,0,1,1,0,0,0,0,Y
F,W,N,840.011,1.542,3,124.931,3,0.112,4,FWN0001001,0,0,0,1,0,0,1,Y
F,A,Y,983.162,1.892,5,69.173,3,0.984,0,FAY0010010,0,0,1,0,0,1,0,Y
M,H,Y,660.613,1.914,9,78.463,4,0.59,1,MHY0010000,0,0,1,0,0,0,0,Y
M,O,Y,1436.098,3.513,2,39.442,1,0.13,0,MOY0100000,0,1,0,0,0,0,0,Y
F,W,N,1101.556,3.106,7,91.569,1,0.397,0,FWN0110000,0,1,1,0,0,0,0,N
M,W,N,915.373,2.486,3,57.425,5,0.34,4,MWN0000001,0,0,0,0,0,0,1,Y
M,W,N,411.671,1.459,6,67.425,5,0.101,3,MWN0010001,0,0,1,0,0,0,1,Y
F,A,N,510.595,3.107,8,66.645,5,0.701,3,FAN0110001,0,1,1,0,0,0,1,N
F,B,N,1685.032,3.184,3,91.675,6,0.49,1,FBN0100000,0,1,0,0,0,0,0,N
M,W,Y,725.448,1.637,6,75.113,9,0.316,3,MWY0010101,0,0,1,0,1,0,1,Y
M,A,Y,1237.422,2.628,4,70.916,16,0.339,4,MAY0000101,0,0,0,0,1,0,1,N
F,W,N,1622.024,2.469,3,111.886,4,0.702,4,FWN0001001,0,0,0,1,0,0,1,Y
F,I,N,1355.821,2.937,2,74.698,0,0.18,3,FIN0000001,0,0,0,0,0,0,1,N
F,A,N,1463.328,2.893,8,77.222,2,0.06,3,FAN0010001,0,0,1,0,0,0,1,Y
F,B,N,1365.415,3.63,0,86.195,5,0.297,3,FBN0100001,0,1,0,0,0,0,1,Y
